id,name,image,group,year
project221,TEXT SUMMARIZATION WEB APP,item221.jpg,Development,2023
project292,Competitive Programming,item222.jpg,CP,2023
item223,Write yourself a Git!,item223.png,Miscellaneous,2023
project224,File Compression System,item224.jpg,Miscellaneous,2023
project225,FAST-G,item225.jpg,Miscellaneous,2023
project226,Developing Trading Strategy with Pine Script,item226.png,Miscellaneous,2023
project227,Real time Driver Drowsiness detection System,item227.jpg,Machine Learning,2023
project228,The Image Cartoonifier,item228.png,Machine Learning,2023
project229,Speech to Speech Translation,item229.png,Machine Learning,2023
project230,Competitive Programming - Newbie to Master,item230.png,CP,2023
project241,Path-Planning of Swarm Robotics in 2/3D space,item241.jpeg,Machine Learning,2023
project242,Image Super Resolution using Deep Neural Networks,item242.jpg,Machine Learning,2023
project243,Enhance Low Resolution Image using GANs,item243.jpg,Machine Learning,2023
project244,MyBox,item244.png,Development,2023
project245,Deep Carlsen,item245.jpg,Machine Learning,2023
project246,InstiExchange - A web marketplace for IITB,item246.png,Development,2023
project247,Homomorphic Encryption for k-NN on the Cloud,item247.jpg,Miscellaneous,2023
project248,TRayCer,item248.png,Miscellaneous,2023
project254,Social media website with MERN,item254.jpg,Developement,2023
project249,Dive into Digital Image Processing,item249.png,Machine Learning,2023
project250,Neural Quest,item250.jpg,Machine Learning,2023
project251,To the Quantum Future,item251.jpg,Miscellaneous,2023
project252,Street Fighter II - Reinforcement Learning,item252.png,Machine Learning,2023
project253,Combinatorial Computing,item253.png,Miscellaneous,2023
project255,Navigating the Waters of AI,item255.png,Machine Learning,2023
project256,Autonomous Driving Vehicle,item256.jpg,Machine Learning,2023
project257,Author Identification through Stylometric Analysis,item257.jpg,Machine Learning,2023
project258,Breakout Genius - Using RL to Build an AI Game Master,item258.jpg,Machine Learning,2023
project259,Image Captioning,item259.jpg,Machine Learning,2023
project260,Cricbuzz,item260.jpeg,Development,2023
project261,Competitive Programming (CP),item261.jpg,CP,2023
project262,Economics meets Machine Learning,item262.png,Machine Learning,2023
project263,"SynerG Lab, CSE Department - Webpage",item263.jpg,Development,2023
project264,Computer vision for driverless vehicles,itemss.jpg,Machine Learning,2023
project265,AudioHive A Social Audio App,audio_hive.png,Machine Learning,2023
project266,Learning the Latent structure in LLMs,item266.png,Machine Learning,2023
project267,EdConnect,item267.jpeg,Development,2023
project268,NFTs Where Art and Tech Converge,item268.jpeg,Blockchain,2023
project269,Dive into the World of Quant,item269.png,Miscellaneous,2023
project270,COLLIDE,item270.png,Development,2023
project271,Image Processing and Object Detection,item271.png,Machine Learning,2023
project272,Unreal IITB,item272.jpg,Development,2023
project273,Human Pose Estimation,item273.png,Machine Learning,2023
project274,Find me out,item274.jpeg,Machine Learning,2023
project275,Sign Language Recogniser,item275.jpg,Machine Learning,2023
project276,"E-Commerce Website for VibSpecLab, IIT Bombay",item276.png,Development,2023
project277,Image Caption Generator,item277.png,Machine Learning,2023
project278,Intro Full stack web development:Restaurant website,item-1.png,Development,2023
project279,App for Credit rating of Retailers in Clothing Industry,item-2.png,Development,2023
project280,Ray Tracing,item-3.png,Miscellaneous,2023
project281,YOLO-Cam-Object Detection based Analytics,item-4.png,Machine Learning,2023
project282,Physically Based Rendering,item-5.jpg,Miscellaneous,2023
project283,A Secure Erasure Code-Based Cloud Storage System with Secure Data Forwarding,item-6.png,Miscellaneous,2023
project284,Graph Machine Learning,item-7.jpg,Machine Learning,2023
project285,“The Watchdogs” - Solving a murder mystery using Computer Vision and Data Science,item-8.jpg,Machine Learning,2023
project286,ArgueAI,item-9.jpg,Machine Learning,2023
project288,Comic GPT,item-10.png,Machine Learning,2023
project289,InstiNav,item-11.png,Development,2023
project290,Face detection for attendance using AI,item-12.png,Machine Learning,2023
project291,Hands on Reinforcement,item-13.png,Machine Learning,2023
project293,RegExamaton,item0.png,Miscellaneous,2023
project294,Institute OnChain Voting System with ZKPs,blockchian.jpeg,Blockchain,2023
project295,Using Deep RL and NLP to allocate stocks in portfolio,stock.jpeg,Machine Learning,2023
project296,Blockchain Development- It's not that difficult!,item296.jpeg,Blockchain,2023
project297,Light field imaging and Dual Attention Networks,item297.png,Machine Learning,2023
project298,Stable Diffusion,item298.jpg,Machine Learning,2023
project299,FlappeRL,item299.webp,Machine Learning,2023
project300,Hands-on Computational Physics,item300.png,Miscellaneous,2023
project301,Image Colorization,item301.png,Machine Learning,2023
project302,PaperPal,item302.png,Machine Learning,2023
project303,JobFinderX,item303.jpeg,Development,2023
